id,title,authors,link,tags,originally_announced_at
49,Semantically Conditioned LSTM-based Natural Language Generation for Spoken Dialogue Systems,"['Tsung-Hsien Wen', 'Milica Gasic', 'Nikola Mrksic', 'Pei-Hao Su', 'David Vandyke', 'Steve Young']",https://arxiv.org/abs/1508.01745,['cs.CL'],"Submitted 26 August, 2015; v1 submitted 7 August, 2015;
      originally announced August 2015."
50,Bidirectional LSTM-CRF Models for Sequence Tagging,"['Zhiheng Huang', 'Wei Xu', 'Kai Yu']",https://arxiv.org/abs/1508.01991,['cs.CL'],"Submitted 9 August, 2015; 
      originally announced August 2015."
51,Benchmarking of LSTM Networks,['Thomas M. Breuel'],https://arxiv.org/abs/1508.02774,['cs.NE'],"Submitted 11 August, 2015; 
      originally announced August 2015."
52,Classifying Relations via Long Short Term Memory Networks along Shortest Dependency Path,"['Xu Yan', 'Lili Mou', 'Ge Li', 'Yunchuan Chen', 'Hao Peng', 'Zhi Jin']",https://arxiv.org/abs/1508.03720,"['cs.CL', 'cs.LG']","Submitted 15 August, 2015; 
      originally announced August 2015."
53,Depth-Gated LSTM,"['Kaisheng Yao', 'Trevor Cohn', 'Katerina Vylomova', 'Kevin Duh', 'Chris Dyer']",https://arxiv.org/abs/1508.03790,"['cs.NE', 'cs.CL']","Submitted 25 August, 2015; v1 submitted 16 August, 2015;
      originally announced August 2015."
54,Character-Aware Neural Language Models,"['Yoon Kim', 'Yacine Jernite', 'David Sontag', 'Alexander M. Rush']",https://arxiv.org/abs/1508.06615,"['cs.CL', 'cs.NE', 'stat.ML']","Submitted 1 December, 2015; v1 submitted 26 August, 2015;
      originally announced August 2015."
55,Object Recognition from Short Videos for Robotic Perception,"['Ivan Bogun', 'Anelia Angelova', 'Navdeep Jaitly']",https://arxiv.org/abs/1509.01602,['cs.CV'],"Submitted 4 September, 2015; 
      originally announced September 2015."
56,Recurrent Reinforcement Learning: A Hybrid Approach,"['Xiujun Li', 'Lihong Li', 'Jianfeng Gao', 'Xiaodong He', 'Jianshu Chen', 'Li Deng', 'Ji He']",https://arxiv.org/abs/1509.03044,"['cs.LG', 'cs.AI', 'eess.SY']","Submitted 19 November, 2015; v1 submitted 10 September, 2015;
      originally announced September 2015."
57,Guiding Long-Short Term Memory for Image Caption Generation,"['Xu Jia', 'Efstratios Gavves', 'Basura Fernando', 'Tinne Tuytelaars']",https://arxiv.org/abs/1509.04942,['cs.CV'],"Submitted 16 September, 2015; 
      originally announced September 2015."
58,Recurrent Neural Networks for Driver Activity Anticipation via Sensory-Fusion Architecture,"['Ashesh Jain', 'Avi Singh', 'Hema S Koppula', 'Shane Soh', 'Ashutosh Saxena']",https://arxiv.org/abs/1509.05016,"['cs.CV', 'cs.AI', 'cs.RO']","Submitted 16 September, 2015; 
      originally announced September 2015."
59,Noise Robust IOA/CAS Speech Separation and Recognition System For The Third 'CHIME' Challenge,"['Xiaofei Wang', 'Chao Wu', 'Pengyuan Zhang', 'Ziteng Wang', 'Yong Liu', 'Xu Li', 'Qiang Fu', 'Yonghong Yan']",https://arxiv.org/abs/1509.06103,"['cs.SD', 'cs.CL']","Submitted 20 September, 2015; 
      originally announced September 2015."
60,The ICSTM+TUM+UP Approach to the 3rd CHIME Challenge: Single-Channel LSTM Speech Enhancement with Multi-Channel Correlation Shaping Dereverberation and LSTM Language Models,"['Amr El-Desoky Mousa', 'Erik Marchi', 'Björn Schuller']",https://arxiv.org/abs/1510.00268,['cs.SD'],"Submitted 1 October, 2015; 
      originally announced October 2015."
61,Unsupervised Extraction of Video Highlights Via Robust Recurrent Auto-encoders,"['Huan Yang', 'Baoyuan Wang', 'Stephen Lin', 'David Wipf', 'Minyi Guo', 'Baining Guo']",https://arxiv.org/abs/1510.01442,['cs.CV'],"Submitted 6 October, 2015; 
      originally announced October 2015."
62,A Waveform Representation Framework for High-quality Statistical Parametric Speech Synthesis,"['Bo Fan', 'Siu Wa Lee', 'Xiaohai Tian', 'Lei Xie', 'Minghui Dong']",https://arxiv.org/abs/1510.01443,"['cs.SD', 'cs.LG']","Submitted 6 October, 2015; 
      originally announced October 2015."
63,Improved Deep Learning Baselines for Ubuntu Corpus Dialogs,"['Rudolf Kadlec', 'Martin Schmid', 'Jan Kleindienst']",https://arxiv.org/abs/1510.03753,['cs.CL'],"Submitted 3 November, 2015; v1 submitted 13 October, 2015;
      originally announced October 2015."
64,Optimizing and Contrasting Recurrent Neural Network Architectures,['Ben Krause'],https://arxiv.org/abs/1510.04953,"['stat.ML', 'cs.LG', 'cs.NE']","Submitted 16 October, 2015; 
      originally announced October 2015."
65,Prediction-Adaptation-Correction Recurrent Neural Networks for Low-Resource Language Speech Recognition,"['Yu Zhang', 'Ekapol Chuangsuwanich', 'James Glass', 'Dong Yu']",https://arxiv.org/abs/1510.08985,"['cs.CL', 'cs.LG', 'cs.NE', 'eess.AS']","Submitted 30 October, 2015; 
      originally announced October 2015."
66,Generating Text with Deep Reinforcement Learning,['Hongyu Guo'],https://arxiv.org/abs/1510.09202,"['cs.CL', 'cs.LG', 'cs.NE']","Submitted 30 October, 2015; 
      originally announced October 2015."
67,A Unified Tagging Solution: Bidirectional LSTM Recurrent Neural Network with Word Embedding,"['Peilu Wang', 'Yao Qian', 'Frank K. Soong', 'Lei He', 'Hai Zhao']",https://arxiv.org/abs/1511.00215,['cs.CL'],"Submitted 1 November, 2015; 
      originally announced November 2015."
68,Larger-Context Language Modelling,"['Tian Wang', 'Kyunghyun Cho']",https://arxiv.org/abs/1511.03729,['cs.CL'],"Submitted 25 December, 2015; v1 submitted 11 November, 2015;
      originally announced November 2015."
69,Sequence to Sequence Learning for Optical Character Recognition,"['Devendra Kumar Sahu', 'Mohak Sukhwani']",https://arxiv.org/abs/1511.04176,['cs.CV'],"Submitted 27 December, 2015; v1 submitted 13 November, 2015;
      originally announced November 2015."
70,Semantic Object Parsing with Local-Global Long Short-Term Memory,"['Xiaodan Liang', 'Xiaohui Shen', 'Donglai Xiang', 'Jiashi Feng', 'Liang Lin', 'Shuicheng Yan']",https://arxiv.org/abs/1511.04510,['cs.CV'],"Submitted 14 November, 2015; 
      originally announced November 2015."
71,Learning to Represent Words in Context with Multilingual Supervision,"['Kazuya Kawakami', 'Chris Dyer']",https://arxiv.org/abs/1511.04623,['cs.CL'],"Submitted 19 November, 2015; v1 submitted 14 November, 2015;
      originally announced November 2015."
72,Compositional Memory for Visual Question Answering,"['Aiwen Jiang', 'Fang Wang', 'Fatih Porikli', 'Yi Li']",https://arxiv.org/abs/1511.05676,['cs.CV'],"Submitted 18 November, 2015; 
      originally announced November 2015."
73,A Deep Architecture for Semantic Matching with Multiple Positional Sentence Representations,"['Shengxian Wan', 'Yanyan Lan', 'Jiafeng Guo', 'Jun Xu', 'Liang Pang', 'Xueqi Cheng']",https://arxiv.org/abs/1511.08277,"['cs.AI', 'cs.CL', 'cs.NE']","Submitted 25 November, 2015; 
      originally announced November 2015."
74,A C-LSTM Neural Network for Text Classification,"['Chunting Zhou', 'Chonglin Sun', 'Zhiyuan Liu', 'Francis C. M. Lau']",https://arxiv.org/abs/1511.08630,['cs.CL'],"Submitted 30 November, 2015; v1 submitted 27 November, 2015;
      originally announced November 2015."
75,Generating News Headlines with Recurrent Neural Networks,['Konstantin Lopyrev'],https://arxiv.org/abs/1512.01712,"['cs.CL', 'cs.LG', 'cs.NE']","Submitted 5 December, 2015; 
      originally announced December 2015."
76,An Empirical Comparison of Neural Architectures for Reinforcement Learning in Partially Observable Environments,"['Denis Steckelmacher', 'Peter Vrancx']",https://arxiv.org/abs/1512.05509,"['cs.NE', 'cs.AI', 'cs.LG']","Submitted 17 December, 2015; 
      originally announced December 2015."
77,Deep-Spying: Spying using Smartwatch and Deep Learning,"['Tony Beltramelli', 'Sebastian Risi']",https://arxiv.org/abs/1512.05616,"['cs.CR', 'cs.CY', 'cs.LG']","Submitted 17 December, 2015; 
      originally announced December 2015."
78,Cells in Multidimensional Recurrent Neural Networks,"['G. Leifert', 'T. Strauß', 'T. Grüning', 'R. Labahn']",https://arxiv.org/abs/1412.2620,"['cs.AI', 'cs.NE']","Submitted 16 February, 2016; v1 submitted 8 December, 2014;
      originally announced December 2014."
79,Unsupervised Learning of Video Representations using LSTMs,"['Nitish Srivastava', 'Elman Mansimov', 'Ruslan Salakhutdinov']",https://arxiv.org/abs/1502.04681,"['cs.LG', 'cs.CV', 'cs.NE']","Submitted 3 January, 2016; v1 submitted 16 February, 2015;
      originally announced February 2015."
80,Deep Sentence Embedding Using Long Short-Term Memory Networks: Analysis and Application to Information Retrieval,"['Hamid Palangi', 'Li Deng', 'Yelong Shen', 'Jianfeng Gao', 'Xiaodong He', 'Jianshu Chen', 'Xinying Song', 'Rabab Ward']",https://arxiv.org/abs/1502.06922,"['cs.CL', 'cs.IR', 'cs.LG', 'cs.NE']","Submitted 16 January, 2016; v1 submitted 24 February, 2015;
      originally announced February 2015."
81,Recurrent Neural Network Training with Dark Knowledge Transfer,"['Zhiyuan Tang', 'Dong Wang', 'Zhiyong Zhang']",https://arxiv.org/abs/1505.04630,"['stat.ML', 'cs.CL', 'cs.LG', 'cs.NE']","Submitted 8 May, 2016; v1 submitted 18 May, 2015;
      originally announced May 2015."
82,Visualizing and Understanding Neural Models in NLP,"['Jiwei Li', 'Xinlei Chen', 'Eduard Hovy', 'Dan Jurafsky']",https://arxiv.org/abs/1506.01066,['cs.CL'],"Submitted 8 January, 2016; v1 submitted 2 June, 2015;
      originally announced June 2015."
83,Grid Long Short-Term Memory,"['Nal Kalchbrenner', 'Ivo Danihelka', 'Alex Graves']",https://arxiv.org/abs/1507.01526,"['cs.NE', 'cs.CL', 'cs.LG']","Submitted 7 January, 2016; v1 submitted 6 July, 2015;
      originally announced July 2015."
84,Finding Function in Form: Compositional Character Models for Open Vocabulary Word Representation,"['Wang Ling', 'Tiago Luís', 'Luís Marujo', 'Ramón Fernandez Astudillo', 'Silvio Amir', 'Chris Dyer', 'Alan W. Black', 'Isabel Trancoso']",https://arxiv.org/abs/1508.02096,['cs.CL'],"Submitted 23 May, 2016; v1 submitted 9 August, 2015;
      originally announced August 2015."
85,Distributed Compressive Sensing: A Deep Learning Approach,"['Hamid Palangi', 'Rabab Ward', 'Li Deng']",https://arxiv.org/abs/1508.04924,"['cs.LG', 'cs.CV']","Submitted 11 May, 2016; v1 submitted 20 August, 2015;
      originally announced August 2015."
86,What to talk about and how? Selective Generation using LSTMs with Coarse-to-Fine Alignment,"['Hongyuan Mei', 'Mohit Bansal', 'Matthew R. Walter']",https://arxiv.org/abs/1509.00838,"['cs.CL', 'cs.AI', 'cs.LG', 'cs.NE']","Submitted 8 January, 2016; v1 submitted 2 September, 2015;
      originally announced September 2015."
87,Hybrid Dialog State Tracker,"['Miroslav Vodolán', 'Rudolf Kadlec', 'Jan Kleindienst']",https://arxiv.org/abs/1510.03710,['cs.CL'],"Submitted 14 January, 2016; v1 submitted 13 October, 2015;
      originally announced October 2015."
88,Highway Long Short-Term Memory RNNs for Distant Speech Recognition,"['Yu Zhang', 'Guoguo Chen', 'Dong Yu', 'Kaisheng Yao', 'Sanjeev Khudanpur', 'James Glass']",https://arxiv.org/abs/1510.08983,"['cs.NE', 'cs.AI', 'cs.CL', 'cs.LG', 'eess.AS']","Submitted 11 January, 2016; v1 submitted 30 October, 2015;
      originally announced October 2015."
89,Deep Recurrent Regression for Facial Landmark Detection,"['Hanjiang Lai', 'Shengtao Xiao', 'Yan Pan', 'Zhen Cui', 'Jiashi Feng', 'Chunyan Xu', 'Jian Yin', 'Shuicheng Yan']",https://arxiv.org/abs/1510.09083,['cs.CV'],"Submitted 30 October, 2016; v1 submitted 30 October, 2015;
      originally announced October 2015."
90,Top-down Tree Long Short-Term Memory Networks,"['Xingxing Zhang', 'Liang Lu', 'Mirella Lapata']",https://arxiv.org/abs/1511.00060,"['cs.CL', 'cs.LG']","Submitted 3 April, 2016; v1 submitted 30 October, 2015;
      originally announced November 2015."
91,Visual7W: Grounded Question Answering in Images,"['Yuke Zhu', 'Oliver Groth', 'Michael Bernstein', 'Li Fei-Fei']",https://arxiv.org/abs/1511.03416,"['cs.CV', 'cs.LG', 'cs.NE']","Submitted 9 April, 2016; v1 submitted 11 November, 2015;
      originally announced November 2015."
92,LSTM-based Deep Learning Models for Non-factoid Answer Selection,"['Ming Tan', 'Cicero dos Santos', 'Bing Xiang', 'Bowen Zhou']",https://arxiv.org/abs/1511.04108,"['cs.CL', 'cs.LG']","Submitted 28 March, 2016; v1 submitted 12 November, 2015;
      originally announced November 2015."
93,Action Recognition using Visual Attention,"['Shikhar Sharma', 'Ryan Kiros', 'Ruslan Salakhutdinov']",https://arxiv.org/abs/1511.04119,"['cs.LG', 'cs.CV']","Submitted 14 February, 2016; v1 submitted 12 November, 2015;
      originally announced November 2015."
94,Recurrent Neural Networks Hardware Implementation on FPGA,"['Andre Xian Ming Chang', 'Berin Martini', 'Eugenio Culurciello']",https://arxiv.org/abs/1511.05552,['cs.NE'],"Submitted 4 March, 2016; v1 submitted 16 November, 2015;
      originally announced November 2015."
95,A Hierarchical Deep Temporal Model for Group Activity Recognition,"['Moustafa Ibrahim', 'Srikanth Muralidharan', 'Zhiwei Deng', 'Arash Vahdat', 'Greg Mori']",https://arxiv.org/abs/1511.06040,['cs.CV'],"Submitted 5 April, 2016; v1 submitted 18 November, 2015;
      originally announced November 2015."
96,Variable Rate Image Compression with Recurrent Neural Networks,"['George Toderici', ""Sean M. O'Malley"", 'Sung Jin Hwang', 'Damien Vincent', 'David Minnen', 'Shumeet Baluja', 'Michele Covell', 'Rahul Sukthankar']",https://arxiv.org/abs/1511.06085,"['cs.CV', 'cs.LG', 'cs.NE']","Submitted 1 March, 2016; v1 submitted 19 November, 2015;
      originally announced November 2015."
97,Neural Programmer-Interpreters,"['Scott Reed', 'Nando de Freitas']",https://arxiv.org/abs/1511.06279,"['cs.LG', 'cs.NE']","Submitted 29 February, 2016; v1 submitted 19 November, 2015;
      originally announced November 2015."
98,Spatio-temporal video autoencoder with differentiable memory,"['Viorica Patraucean', 'Ankur Handa', 'Roberto Cipolla']",https://arxiv.org/abs/1511.06309,"['cs.LG', 'cs.CV']","Submitted 1 September, 2016; v1 submitted 19 November, 2015;
      originally announced November 2015."
